activity_id,budget_type,project,activity,department,responsible_person
บว01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ1,กลุ่มบริหารวิชาการ,บุคคล1
บง01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ2,กลุ่มบริหารงบประมาณและแผนงาน (งานการเงินและบัญชี),บุคคล2
บง02,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ3,กลุ่มบริหารงบประมาณและแผนงาน (งานแผนงาน),บุคคล3
บง03,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ4,กลุ่มบริหารงบประมาณและแผนงาน (งานพัสดุ),บุคคล4
บง04,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ5,กลุ่มบริหารงบประมาณและแผนงาน (งานโรงเรียนธนาคาร),บุคคล5
บค01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ6,กลุ่มบริหารอำนวยการและบุคคล (งานสารบรรณ),บุคคล6
บค02,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ7,กลุ่มบริหารอำนวยการและบุคคล (งานบุคคล),บุคคล7
ขค03,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ8,กลุ่มบริหารอำนวยการและบุคคล (งานควบคุมภายใน),บุคคล8
บท01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ9,กลุ่มบริหารทั่วไป (สำนักงาน),บุคคล9
บท02,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ10,กลุ่มบริหารทั่วไป (งานโสตทัศนูปกรณ์),บุคคล10
บก01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ11,กลุ่มบริหารกิจการนักเรียน (สำนักงาน),บุคคล11
บก02,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ12,กลุ่มบริหารกิจการนักเรียน (สภานักเรียน),บุคคล12
วส01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ13,โครงการห้องเรียนวิทยาศาสตร์พลังสิบ,บุคคล13
ท01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ14,กลุ่มสาระการเรียนรู้ภาษาไทย,บุคคล14
ค01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ15,กลุ่มสาระการเรียนรู้คณิตศาสตร์,บุคคล15
ว01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ16,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,บุคคล16
ทน01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ17,งานคอมพิวเตอร์,บุคคล17
ส01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ18,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,บุคคล18
พ01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ19,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,บุคคล19
ศ01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ20,กลุ่มสาระการเรียนรู้ศิลปะ,บุคคล20
อ01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ21,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ,บุคคล21
ง01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ22,กลุ่มสาระการเรียนรู้การงานอาชีพ,บุคคล22
กพ01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ23,งานกิจกรรมพัฒนาผู้เรียน,บุคคล23
น01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ24,งานแนะแนว,บุคคล24
สม01,1.ค่าจัดการเรียนการสอน,1. โครงการส่งเสริมนักเรียนให้มีความรู้ และทักษะที่จำเป็นตามหลักสูตรเพื่อยกระดับผลสัมฤทธิ์ทางการเรียน,ทดลองระบบ25,งานห้องสมุด,บุคคล25
